gene	spearman_r	n_samples
A1CF	0.7452289352916617	94
A2M	-0.09439221911095125	96
AAAS	0.1730995540580879	96
AACS	0.5942809471163955	96
AAGAB	0.4624640104205624	96
AAK1	0.10978173876476893	96
AAMDC	0.42394028513949755	96
AAMP	0.3379250939377908	96
AAR2	0.5510458775840029	96
AARS	0.4386748462954087	96
AARS2	0.5441198914941652	96
AASDHPPT	0.41939805004290054	96
AASS	0.5684606784569557	86
AATF	0.3770856507316993	96
ABAT	0.8453227164722368	96
ABCB1	0.7399313609788521	96
ABCB10	0.38789260755565796	90
ABCB6	0.11934593216769127	81
ABCB7	0.24161483541336473	96
ABCB8	0.4248835185215192	90
ABCC1	0.259436985592094	96
ABCC3	0.4711643459328943	96
ABCC4	0.5350164633751646	86
ABCD1	0.36190486651550635	65
ABCD3	0.42662000299411806	96
ABCE1	0.35585368666757194	96
ABCF1	0.41299393644379717	96
ABCF2	0.5122901618722562	96
ABCF3	0.18322283083859997	96
ABHD10	0.05118152961755804	96
ABHD11	0.4525933110829675	96
ABHD12	0.5833203334842192	96
ABHD14B	0.4804679949158617	96
ABHD16A	0.43394377183165467	96
ABHD17C	0.12119329911032353	69
ABHD3	0.09624060150375939	20
ABHD6	0.4199506725382199	69
ABI1	0.2799708346115201	96
ABI2	0.2114415138678284	59
ABI3	0.5704586240608553	96
ABI3BP	0.4459962219255857	96
ABL1	0.013254947784520894	79
ABLIM1	0.363211530361668	96
ABLIM2	0.46195949644225504	28
ABO	0.3660926456417387	51
ABR	0.3272301822825091	96
ABRACL	0.40910894448916757	96
ABT1	0.3423387096774194	31
ACAA1	0.40583912396417493	96
ACAA2	0.5978899676848781	96
ACACA	0.4359580435257387	96
ACAD10	0.32021637387971236	96
ACAD8	0.3794674050767524	96
ACAD9	0.39441716297021323	96
ACADM	0.484133739841561	96
ACADS	0.4009624808832574	96
ACADSB	0.7111918989291145	96
ACADVL	0.5496634167304392	96
ACAP1	0.45821379027251946	61
ACAP2	0.26018645062328083	96
ACAT1	0.30651500815781624	96
ACAT2	0.4064949114399878	96
ACBD3	0.4909571239171863	96
ACBD5	0.7319261786558473	96
ACBD6	0.29798064763841586	50
ACE	0.3217322361580958	87
ACE2	0.7920626965289923	87
ACIN1	0.07895834534444492	96
ACLY	0.43889254397440014	96
ACO1	0.4598490885995074	96
ACO2	0.10648955147923889	96
ACOT1	0.22451720621706384	96
ACOT11	0.61107456071603	96
ACOT13	0.35003425191776827	96
ACOT7	0.418978953722607	96
ACOT8	0.5626343813045227	96
ACOT9	0.4949469943208184	96
ACOX1	0.5713403984772151	96
ACOX2	0.6120956598038462	45
ACOX3	0.49796006982359864	96
ACP1	0.1360877114479409	96
ACP2	0.556664914609237	96
ACP5	0.3886376163778225	70
ACP6	0.6329105349919605	96
ACPP	0.816336453812153	42
ACSF2	0.8378415963253532	96
ACSF3	0.5245833813885186	96
ACSL1	0.6795489614282401	96
ACSL3	0.7387054985451611	96
ACSL4	0.5405101109985401	96
ACSL5	0.8237021663532696	96
ACSM3	0.7153515376119178	96
ACSS1	0.8168348729823389	96
ACSS2	0.7301374137093293	96
ACTA2	0.27178243994640244	63
ACTB	-0.14809384164222872	32
ACTG1	-0.0319930004730387	96
ACTG2	0.5443729993905976	96
ACTL6A	0.278809665113939	96
ACTN1	0.19375317943848666	96
ACTN4	0.30542226080880464	96
ACTR10	0.2552642378116953	96
ACTR1A	0.3204486029502507	96
ACTR1B	0.19341142318858845	96
ACTR2	0.10379885919161148	96
ACTR3	0.0467920740374165	96
ACTR3B	-0.14398085657336876	26
ACTR5	0.09592517278033648	80
ACTR6	0.025280437794345675	38
ACTR8	0.017970401691331923	43
ACY1	0.5508300127457603	96
ACYP1	0.3099163387712473	88
ACYP2	0.4022442245570433	93
ADA	0.5415597295196549	89
ADA2	0.32153858491680337	86
ADAM10	0.5909060079626955	96
ADAM15	0.436431989063568	56
ADAM17	0.259752303602631	95
ADAM9	0.5466279160746409	96
ADAMDEC1	0.133098460358868	81
ADAP1	0.3653671373729975	96
ADAR	0.6164374735376252	96
ADCK5	0.5378346921906788	39
ADCY6	0.1812724334181823	83
ADD1	0.22995740529462746	96
ADD3	0.5021127381608854	96
ADGRE5	0.10637583551280481	96
