gene	log2fc_fudan	n_pairs_fudan	pval_fudan
A1BG	-0.047032810494090964	28	0.3740789592266083
A2M	-1.3496267082105562	28	0.004406772553920746
AAAS	1.0057587853050227	19	0.000644683837890625
AACS	-0.08544497241307086	26	0.8612560033798218
AARS	1.5416436081543592	28	1.5139579772949219e-05
AARS2	0.03842341602183973	28	0.46517620980739594
AASDHPPT	1.3620966465098912	17	0.0128631591796875
AATF	2.2457517191301464	13	0.00341796875
ABAT	1.1166652088923807	17	0.017425537109375
ABCB1	1.0561778768789067	20	0.009435653686523438
ABCB10	-1.4809118438050914	8	0.0546875
ABCB7	-0.4483812688619182	9	0.91015625
ABCC1	0.7778724192548981	7	0.21875
ABCC3	-1.4967371940409604	26	7.539987564086914e-06
ABCC4	0.20322710820101864	24	0.45587432384490967
ABCD3	0.14143413381896774	28	0.2015676274895668
ABCE1	0.7475663444063649	27	0.0003008991479873657
ABCF1	0.11412651968502217	28	0.4117337390780449
ABCF2	-0.21177217028462614	23	0.5803380012512207
ABCF3	0.035407246681116375	28	0.6295278295874596
ABHD10	0.3081369836460487	28	0.1935620754957199
ABHD11	0.20202059412479104	28	0.35016296058893204
ABHD12	0.5632237864527802	22	0.13748931884765625
ABHD13	0.563664587446784	14	0.0579833984375
ABHD14B	-0.5116355875062426	28	0.0006467849016189575
ABHD16A	0.4324079033095216	28	0.0379299521446228
ABI1	-0.03905892961452228	27	0.23857179284095764
ABI3	0.8097085533516346	5	
ABI3BP	-0.5097827588418882	10	0.4921875
ABLIM1	-0.6530785755998014	26	0.5482756793498993
ABRACL	0.1427247709196452	24	0.6839864253997803
ACAA1	-0.3457743847803746	28	0.2945980280637741
ACAA2	-0.5285833506875219	28	0.00011970102787017822
ACACA	3.1652025911999093	19	0.03234100341796875
ACAD10	-1.4020160062100542	5	
ACAD8	0.2012509289370577	18	0.932281494140625
ACAD9	-0.04781258754151938	28	0.5221440717577934
ACADM	-1.101091451407679	28	6.318092346191406e-05
ACADS	-1.1650342387457584	26	5.036592483520508e-06
ACADSB	-0.594670185409109	24	0.14335036277770996
ACADVL	-0.7255047993651418	28	0.0001353248953819275
ACAP2	0.4578956643208827	7	0.9375
ACAT1	-0.8164235870946114	28	0.000244140625
ACAT2	-0.03786947688877735	28	0.8665077835321426
ACBD3	-0.16283118263908608	27	0.1854744255542755
ACBD5	-1.7380934652199422	6	0.03125
ACIN1	0.47445240752059165	28	0.01025690883398056
ACLY	0.6653814148844205	28	0.0017047896981239319
ACO1	-0.17580480779663177	28	0.07353667169809341
ACO2	-0.5551675482353118	28	0.0004249662160873413
ACOT11	-0.7733102875935173	19	0.002838134765625
ACOT13	0.2140313616667606	26	0.25782257318496704
ACOT7	0.7086618175190482	26	0.0005246102809906006
ACOT8	1.4825469341079929	25	0.006129205226898193
ACOT9	1.160251933135421	28	4.2110681533813477e-05
ACOX1	-0.8659204610603914	28	0.0007162094116210938
ACOX3	0.959609086027212	12	0.1513671875
ACP1	0.5073322962274592	28	0.01563260704278946
ACP2	0.05625831976414921	27	0.3864929676055908
ACP5	0.06754505915297097	25	0.936802864074707
ACPP	0.12761970011280024	26	0.9800839126110077
ACSF2	-0.9424408060998569	20	0.001689910888671875
ACSF3	-0.5776891526643885	28	0.08145394921302795
ACSL1	1.1066361616460396	27	0.001529410481452942
ACSL3	0.2745930981687487	28	0.17090606689453125
ACSL4	0.452570509933468	25	0.07547956705093384
ACSL5	0.12264133391150225	28	0.8665077835321426
ACSM3	-1.3294542815890429	15	0.012451171875
ACSS1	0.6097736636696834	25	0.04512268304824829
ACSS2	-0.22376957110981444	28	0.1637990102171898
ACSS3	0.745239160524664	6	0.5625
ACTB	0.31390980029178084	28	0.0006467849016189575
ACTBL2	0.4291286980892528	6	0.03125
ACTG1	0.31384161649088205	28	0.0007921457290649414
ACTL6A	1.4210918401343098	27	3.0234456062316895e-05
ACTN1	0.7048559674720345	28	7.204711437225342e-05
ACTN4	0.4954232001995781	28	0.0003418475389480591
ACTR10	-0.2133385036799223	27	0.594396710395813
ACTR1A	-0.2255478657023247	28	0.07353667169809341
ACTR1B	-0.5968837900701995	19	0.005329132080078125
ACTR2	0.1450213953057798	28	0.27407141774892807
ACTR3	0.413605765695101	28	8.20159912109375e-05
ACTR3B	0.4389601410016739	15	0.063720703125
ACTR5	0.734905937069052	20	0.082550048828125
ACY1	1.1522075646233056	22	0.011472702026367188
ACYP1	0.0779230488921368	11	0.3203125
ADA	-1.5288966049881447	19	0.001171112060546875
ADAM10	-0.5643725853907243	23	0.010109186172485352
ADAMTS4	1.1897044782575814	6	0.15625
ADAP1	0.3986361830448677	10	0.10546875
ADAR	0.6856313651276913	28	0.009536407887935638
ADCK3	0.8794153663804443	26	0.03816831111907959
ADCK4	-0.02163591394745451	27	0.5148514956235886
ADCK5	-0.4665490739552365	22	0.3705310821533203
ADCY6	-1.0712314739093485	18	0.00128936767578125
ADD1	-0.5871318498206662	28	0.0004729032516479492
ADD3	-0.6560159233383414	27	5.5283308029174805e-06
ADH1B	-1.7185960035908594	6	0.03125
ADH1C	-1.77503137835893	23	4.029273986816406e-05
ADH5	-0.3285683338792105	28	0.0010645166039466858
ADH6	-1.851601557973236	5	
ADK	1.5630849194293246	27	0.00042723119258880615
ADPGK	0.13381441924106846	28	0.33856552094221115
ADPRHL2	0.5480773424272181	23	0.07486915588378906
ADRBK1	0.9618648711132288	25	0.02027493715286255
ADSL	0.3317065299939299	28	0.020409412682056427
ADSS	-0.11140059698304076	28	0.7113664001226425
AEBP1	3.3509620411805447	15	6.103515625e-05
AFAP1L2	1.670498685407837	7	0.078125
AFG3L2	-0.4588636654071516	28	0.01563260704278946
AFM	0.8016342997896609	23	0.02542257308959961
AFTPH	0.0	19	0.6790730414946473
AGA	0.5251936406491458	24	0.0012379884719848633
AGFG1	-0.2417261681034339	25	0.19081425666809082
AGK	0.40535370134579524	25	0.21998637914657593
AGL	-0.4015631015016207	28	0.0018673688173294067
AGMAT	0.7523759395043611	12	0.20361328125
AGO2	2.2486770233949076	20	0.0003223419189453125
AGO3	0.27092830157670467	8	0.3828125
AGPAT1	-0.9972873165792391	11	0.3203125
AGPAT2	0.17999947411030298	6	0.5625
AGPAT5	0.26017322599624604	28	0.07741569727659225
AGPS	0.2427102879404035	28	0.2450956031680107
AGR2	-0.7561041814171356	28	0.004060737788677216
AGR3	-0.7296212509671023	28	0.0051764026284217834
AGRN	0.5239184499077183	28	0.06623983383178711
AGT	-0.3526652287118546	28	0.3052256628870964
AHCTF1	0.6134140130543506	7	0.21875
AHCY	0.9530100098549315	28	0.0001721307635307312
AHCYL1	-0.20101339360079054	16	0.820892333984375
AHCYL2	-1.278101183214205	16	0.005157470703125
AHNAK	-0.471233483261452	28	7.964670658111572e-06
AHNAK2	0.9036583502943958	22	0.08540916442871094
AHSA1	0.8761539257104912	28	0.00010570138692855835
AHSG	-0.3024595262047797	14	0.3575439453125
AIDA	0.6235521519871399	18	0.0599365234375
AIF1	-0.8750910941074805	26	7.024407386779785e-05
AIFM1	0.36826326248889146	28	0.1637990102171898
AIFM2	-1.0063344040862772	7	0.109375
AIM1	0.006560569999838943	14	0.9515380859375
AIMP1	0.3498462414117831	28	0.021778732538223267
AIMP2	0.6612317042233343	26	0.07092106342315674
AIP	0.8205137429693788	25	0.01597297191619873
AK1	-0.1733379628888528	28	0.43800119310617447
AK2	0.3166456411066443	28	0.13146880269050598
AK3	-0.03174005107788946	28	0.3989470452070236
AKAP1	2.1861930502405396	9	0.0546875
AKAP10	-0.09753433071785643	5	
AKAP12	0.3940524741495082	23	0.8932116031646729
AKAP13	0.012635024985170468	10	0.6953125
AKAP9	-0.23005658339034468	20	0.4304332733154297
AKR1A1	0.1085560612285309	28	0.5075842142105103
AKR1B1	-0.04401276761303821	28	0.7792982533574104
AKR1B10	-0.715891751434971	22	0.0025048255920410156
AKR1C3	-0.6550911575207577	16	0.065399169921875
AKR1E2	-0.3038779114451817	26	0.0630297064781189
AKR7A2	-0.3166544717423717	28	0.001416526734828949
AKR7A3	-0.3815961706052581	27	0.01506437361240387
AKT1	0.5619285401133143	12	0.20361328125
AKT1S1	0.04364346406211142	6	0.84375
AKTIP	-0.24322940378731805	14	0.2957763671875
ALAD	-0.28729956960669734	28	0.06281394511461258
ALB	-0.2273406115932518	28	0.2842133492231369
ALCAM	1.6556434101204998	11	0.0673828125
ALDH16A1	-0.0022524626235678226	28	0.7965622618794441
ALDH18A1	0.39784711621686814	28	0.004060737788677216
ALDH1A1	-0.5911960569518517	28	0.01563260704278946
ALDH1A3	1.2109960496219043	6	0.15625
ALDH1B1	0.6149658359116666	28	0.003738619387149811
ALDH1L1	0.09520893728928895	15	0.15142822265625
ALDH1L2	1.5180101326856594	5	
ALDH2	-0.02735499287449833	28	0.8489041775465012
ALDH3A1	-0.9547757211691804	9	0.5703125
ALDH3A2	-1.0993561042814086	28	0.0004249662160873413
ALDH4A1	0.5980665944700666	25	0.07547956705093384
ALDH5A1	-0.9987971473609588	25	0.04512268304824829
ALDH6A1	-0.5189027928487833	28	0.0001721307635307312
ALDH7A1	0.08504192059337742	28	0.8841757625341415
ALDH9A1	0.35819763731919485	28	0.008859716355800629
ALDOA	0.4131403582836266	28	0.06623983383178711
ALDOC	0.9937795315060951	28	1.8849968910217285e-06
ALG1	0.6359774316468659	23	0.2467491626739502
ALG11	0.5223475509177109	14	0.10400390625
ALG2	0.010238633376008591	22	0.4825911521911621
ALG3	0.5544861272725955	27	0.002468690276145935
ALG5	-0.32974692454754206	28	0.0992795079946518
ALOX15	-0.12749546923060748	12	0.7333984375
ALOX5	0.46347540431821216	9	0.25
ALYREF	0.7944634745485326	27	0.003877997398376465
AMACR	1.9080558567688621	10	0.009765625
AMBP	-0.9448527123515073	28	2.0518898963928223e-05
AMDHD2	0.14125924156466965	20	0.9272785186767578
AMPD2	0.8229758126403797	28	0.0001721307635307312
AMT	-1.5117469738002622	8	0.0078125
ANAPC2	-0.16339906385001537	6	0.84375
ANAPC4	1.403878694070501	25	0.00028705596923828125
ANG	-1.0206557181875713	7	0.15625
ANK1	-1.58472897934789	5	
ANK2	-0.6635824220250591	25	0.00021690130233764648
ANK3	-0.9848317007683323	28	0.00021760910749435425
ANKFY1	-0.6345047820742723	27	0.3361395001411438
ANKMY2	0.07599538352763387	21	0.7592878341674805
ANKRD22	0.7564582100386952	11	0.0673828125
ANKRD28	0.690306901752268	23	0.032669782638549805
ANKRD44	-0.009938950471423645	28	0.8841757625341415
ANKS1A	1.315580367527273	17	0.00384521484375
ANKS4B	-1.5237442498808653	6	0.03125
ANO10	-0.640316566723229	17	0.023223876953125
ANO6	0.6193738489891797	9	0.359375
ANP32A	0.1264376095261082	21	0.1906871795654297
ANP32B	0.49684615984910147	28	0.008224666118621826
ANP32E	-0.26528816141303574	28	0.13751810044050217
ANPEP	-0.9768475689060346	28	0.2842133492231369
ANTXR2	-0.027992632952926075	5	
ANXA1	-0.008987766727169662	28	0.9910601079463959
ANXA11	-0.10481363919481462	28	0.7450922578573227
ANXA13	-1.0635277443748332	28	0.003160528838634491
ANXA2	0.20282122422880916	28	0.1199713721871376
ANXA3	0.4156961840163408	28	0.009536407887935638
ANXA4	0.6109812336652152	28	0.0008751451969146729
ANXA5	0.37073702685110566	28	0.01563260704278946
ANXA6	0.07951275961413581	28	0.5369088649749756
ANXA7	-0.03884313241811939	28	0.49323366582393646
AOC1	-0.46361723845874486	21	0.035056114196777344
AOC3	-1.546898885532106	26	4.410743713378906e-05
AP1B1	-0.12650100248534762	28	0.033681392669677734
AP1G1	-0.0254006312852932	28	0.6781789660453796
AP1G2	1.3408758668144833	5	
AP1M1	0.24946899506890086	28	0.17849611324735748
AP1M2	-0.8594243674030322	28	0.0451183095574379
AP1S1	-0.29374789687858094	28	0.042608387768268585
AP1S2	0.13788298671342547	19	0.5948867797851562
AP2A1	-0.3336338841239377	28	0.20980393886566162
AP2A2	-0.39084407086857476	28	0.002901986241340637
AP2B1	-0.022555961578957735	28	0.9018996506929398
AP2M1	0.43375102044662767	27	0.29008127748966217
AP2S1	-0.22039637339580978	27	0.006450757384300232
AP3B1	0.15125951808364396	28	0.6618045940995216
AP3D1	0.1708459311548226	28	0.07741569727659225
AP3M1	0.0369678683706023	28	0.8665077835321426
AP3M2	0.302055721950292	17	0.0395355224609375
AP3S1	-0.9087343486006771	6	0.21875
AP4B1	0.34509112750667953	5	
AP5B1	-0.9814441809717561	5	
AP5S1	0.07401134140171162	12	1.0
AP5Z1	0.26669765691514113	12	0.7333984375
APAF1	-0.35828049013696334	19	0.9217147827148438
APBB1IP	-0.38342339473467885	25	0.03180783987045288
APCS	-0.701409353431441	28	0.00019368529319763184
APEH	0.04469560027040976	28	0.5979221016168594
APEX1	0.4486251075709111	28	0.0007921457290649414
API5	1.309459789304837	28	3.17990779876709e-05
APMAP	1.4716893946551097	28	0.00010570138692855835
APOA1	0.34304196173238266	28	0.14377250522375107
APOA1BP	0.6428357680304707	25	0.00021690130233764648
APOA2	0.09716148343674351	7	1.0
APOA4	-0.776793186860448	25	0.04826241731643677
APOB	0.8112553443454319	28	0.006548762321472168
APOBR	-0.7902231171766883	26	0.0011651217937469482
APOE	0.9497959235357447	22	0.0028514862060546875
APOH	0.7430251179424201	27	0.0046126991510391235
APOO	0.95587066419796	25	0.0037809014320373535
APOOL	-0.5903439256542035	15	0.22930908203125
APPL1	-0.10746522566316685	28	0.5075842142105103
APPL2	-0.6349516887428176	21	0.05019187927246094
APRT	0.8844854529333097	28	1.5139579772949219e-05
AQR	1.72232294761468	27	0.0046126991510391235
ARAF	0.2141539657292218	7	0.46875
ARAP1	0.6939917119164143	26	0.0016040503978729248
ARCN1	0.13132902545816644	28	0.156909741461277
ARF4	0.24927787172134236	28	0.07741569727659225
ARF5	0.057268126194066946	11	0.5771484375
