gene	log2fc	pval	qval	n_pairs
A1BG	-1.20178125	1.950201391356052e-15	1.4521532890796618e-14	96
A1CF	-0.18371149425287364	0.04010059193961199	0.05125450015676449	87
A2M	-1.330426041666667	3.899636697534763e-17	9.947780457703697e-16	96
AAAS	0.22716770833333336	1.6845847649749698e-07	3.7189467549249994e-07	96
AACS	0.23937083333333342	4.064285692665597e-05	7.08425375736386e-05	96
AAGAB	0.31098437500000004	7.474809220388576e-10	2.126738552145333e-09	96
AAK1	-0.20698229166666682	5.728827775249068e-10	1.6489046910124291e-09	96
AAMDC	-0.8538177083333331	6.0952924677524596e-15	3.891096846696374e-14	96
AAMP	0.0937364583333334	0.011723735012292355	0.015925195018722294	96
AAR2	0.07588749999999998	0.031080278128913626	0.04021554213440338	96
AARS	0.1293395833333333	3.608607473214076e-05	6.321187346682307e-05	96
AARS2	-0.0015677083333333279	0.4151230783119896	0.4530764165275969	96
AASDHPPT	0.04746354166666667	0.3401974850993411	0.37725370702999667	96
AASS	-0.39874189189189174	8.899507107909589e-10	2.512912171168579e-09	74
AATF	0.5766250000000002	1.2514236978313506e-15	1.0139856991244602e-14	96
ABAT	-0.20826770833333322	0.010416840027093576	0.014233519295676334	96
ABCA8	-1.8907645833333335	1.781293897222056e-17	9.541570874547247e-16	96
ABCB1	-0.4242864583333334	1.3953316614797295e-07	3.0997616281018233e-07	96
ABCB10	0.03209487179487179	0.7385977053899009	0.765171711775918	78
ABCB6	-0.2057	0.00034542691077335785	0.0005530952611881761	70
ABCB7	0.07566145833333336	0.0892704351811798	0.10869704640305612	96
ABCB8	-0.022185000000000017	0.7154713644359418	0.7431641715436962	80
ABCC1	0.22790625	6.760371288225606e-08	1.5501574791689943e-07	96
ABCC3	-0.5479562500000001	6.399716467482832e-13	2.691893277764409e-12	96
ABCC4	-0.2868376811594204	1.4201353624594386e-05	2.5939798929323096e-05	69
ABCD1	-0.14969347826086948	0.27745830540786187	0.312956921819325	46
ABCD3	0.05238645833333333	0.4182675528330816	0.4562856930011617	96
ABCE1	0.4137135416666668	1.302058794530649e-16	1.928816173110901e-15	96
ABCF1	0.16686041666666665	2.4093170779895304e-09	6.494217869116818e-09	96
ABCF2	0.3429124999999999	2.857264463458396e-14	1.5385496017927631e-13	96
ABCF3	0.17698124999999995	5.670340613345654e-11	1.8333645867439034e-10	96
ABHD10	0.06975833333333332	0.16717767591874133	0.19529775861724458	96
ABHD11	0.27829583333333324	2.357383949840714e-05	4.2096590150336305e-05	96
ABHD12	0.28910312500000007	2.519679353597722e-07	5.463648604811609e-07	96
ABHD14B	-0.3416999999999999	4.899454094025943e-09	1.2701096412990749e-08	96
ABHD16A	-0.04750208333333334	0.30620956749386696	0.3424504064538012	96
ABHD17C	-0.21054878048780484	0.001459773243368545	0.002193419639363845	41
ABHD6	-0.36602280701754386	4.6253817128527206e-07	9.789175366412903e-07	57
ABI1	-0.056592708333333325	0.003564696710098835	0.0051342958840818135	96
ABI2	-0.7151882352941175	1.9219125684634783e-06	3.81934580030257e-06	34
ABI3	-0.30216145833333347	2.9140272431338756e-11	9.741378279011238e-11	96
ABI3BP	-2.0064104166666676	1.7810758177901125e-17	9.541570874547247e-16	96
ABL1	-0.4529854838709679	6.566043062726119e-09	1.6800756257753444e-08	62
ABLIM1	-0.2757447916666667	2.6053434141400263e-09	6.9972974241254755e-09	96
ABO	-0.41150322580645143	0.00806064996868372	0.01113651166390014	31
ABR	-0.079359375	0.005543606605378041	0.00782167333658912	96
ABRACL	0.61530625	7.507072969187764e-11	2.3869645758426877e-10	96
ACAA1	0.01038333333333334	0.6114880757345884	0.6455514530748631	96
ACAA2	-0.4009708333333333	5.220346236782239e-10	1.5096749538788893e-09	96
ACACA	0.07408854166666667	0.04522410766529657	0.05730095152530211	96
ACAD10	-0.2698666666666667	4.757717778545978e-06	9.088704036521915e-06	96
ACAD8	-0.3300885416666666	2.3292869128684135e-11	7.880577861035899e-11	96
ACAD9	0.17985416666666665	4.0089280141110753e-07	8.535670595579563e-07	96
ACADM	-0.5105947916666668	4.117471029220958e-15	2.765320997097439e-14	96
ACADS	-1.030370833333333	1.0504453234193363e-16	1.677961351147697e-15	96
ACADSB	-0.2054739583333333	6.8446146067970295e-06	1.28701007278591e-05	96
ACADVL	-0.46709374999999986	2.1937947833077017e-15	1.6017125190248598e-14	96
ACAN	0.19653170731707326	0.06574129915275284	0.08151143522746605	41
ACAP1	-0.19766216216216212	0.016591070889262483	0.022146735892571028	37
ACAP2	-0.12709166666666663	6.636898081481036e-07	1.3823951949287882e-06	96
ACAT1	-0.7300364583333332	1.957519470477668e-17	9.541570874547247e-16	96
ACAT2	-0.3091625	5.139586813145928e-07	1.082281479265412e-06	96
ACBD3	0.21941666666666673	1.1428574041385971e-08	2.8503458454891627e-08	96
ACBD5	0.2490125	2.1128376180906926e-07	4.6157693193651766e-07	96
ACE	-0.5282562499999999	3.8704721278156035e-10	1.1354174685402224e-09	80
ACE2	0.3660682926829268	0.005424272336624279	0.007664583636565352	82
ACIN1	0.3011020833333334	1.950097083440405e-15	1.4521532890796618e-14	96
ACLY	0.3674020833333333	1.3999851313902164e-13	6.57277833904616e-13	96
ACO1	-0.41026041666666674	2.5040619429864356e-15	1.8006164603961413e-14	96
ACO2	-0.5799218750000003	1.7189604343636677e-15	1.3149949320576792e-14	96
ACOT1	-0.6828489583333329	1.840864346306569e-14	1.0343684170327278e-13	96
ACOT11	-0.2918364583333333	9.609838469386258e-08	2.1693272641693274e-07	96
ACOT13	-0.13470937499999996	0.03482666919377247	0.044812451787690735	96
ACOT7	0.0126125	0.6557229978069776	0.6881347712008468	96
ACOT8	0.24403854166666658	0.00013215419705397478	0.00022060774024262671	96
ACOT9	0.10036770833333335	0.04929582232446195	0.062237389308557566	96
ACOX1	-0.3028572916666668	8.549102119708622e-06	1.593662854157409e-05	96
ACOX2	-0.26771379310344834	0.029064036905765533	0.037752298857847234	29
ACOX3	0.029568749999999994	0.8349980762678727	0.8546151172663856	96
ACP1	-0.1688291666666667	0.0013686777561949803	0.0020630103496544873	96
ACP2	-0.04211666666666667	0.21813489131767294	0.25050787159367816	96
ACP5	-0.3311734693877552	0.00027346385010673657	0.00044251542941777514	49
ACP6	0.1205177083333333	0.023696267006038628	0.031147777300845055	96
ACSF2	-0.6176208333333332	4.659957436619263e-11	1.5243127470638048e-10	96
ACSF3	-0.05091354166666668	0.12084029071319694	0.14428145762499345	96
ACSL1	-0.24201979166666668	0.011505524982995606	0.01564462243836999	96
ACSL3	0.29207604166666673	3.139327920031706e-11	1.0426609413610257e-10	96
ACSL4	0.5699291666666667	5.587672016698306e-15	3.601309493894111e-14	96
ACSL5	0.21105104166666666	0.00542025603159212	0.0076605219540660475	96
ACSM3	-0.4136979166666667	1.608548109664915e-08	3.937157704393256e-08	96
ACSS1	0.14428958333333328	0.13501543965580776	0.15972819337873642	96
ACSS2	-0.4085895833333331	6.9272871964267616e-12	2.5041504356635865e-11	96
ACTA2	-0.2466263157894737	0.2933771514290129	0.32963780086036637	38
ACTBL2	-0.31094062499999986	8.551620870727496e-05	0.00014510467510136913	96
ACTG1	0.8418854166666664	9.385596097353852e-07	1.9193299539800698e-06	96
ACTG2	-1.7024406250000002	9.512260893248574e-14	4.60178632649022e-13	96
ACTL6A	0.36496979166666677	2.2781312396402462e-14	1.2507350643818666e-13	96
ACTN1	-1.2908270833333335	7.010016560460194e-14	3.4708635501201067e-13	96
ACTN2	0.0804875	0.04180550194660346	0.053342166709730424	96
ACTN4	0.07146666666666664	0.04107622747307572	0.052441562343837296	96
ACTR10	-0.37253125000000004	2.3979985110994164e-16	2.8836774580884603e-15	96
ACTR1A	-0.4825531250000002	1.2145611078019984e-15	9.903109851059257e-15	96
ACTR1B	-0.3389260416666666	2.4008212028746862e-12	9.294350519380422e-12	96
ACTR2	0.11834375000000004	2.065072369676337e-06	4.096561362554271e-06	96
ACTR3	0.09162604166666666	2.069364399510127e-05	3.715109916059257e-05	96
ACTR5	-0.11086785714285714	0.04931509102884686	0.06224928423566013	56
ACY1	0.096059375	0.22855192622885578	0.26153178969069324	96
ACYP1	-0.4486937499999999	2.842797267704123e-10	8.454045597972944e-10	80
ACYP2	-0.20893333333333325	0.00031349732529896386	0.0005044983342362073	87
ADA	-0.21637241379310337	0.00012364633737482698	0.00020686864774257214	87
ADA2	-0.5746237500000002	5.308569222576042e-12	1.9536583057741452e-11	80
ADAM10	-0.34741770833333335	8.513638242936567e-14	4.148591246847948e-13	96
ADAM15	-0.17268484848484844	0.11380159048842094	0.13648460325112907	33
ADAM17	0.14150340909090905	0.01980196775387646	0.02625002996655941	88
ADAM9	0.08983541666666667	0.01329381330753506	0.017941700559294452	96
ADAMDEC1	-0.5326666666666665	3.866660357761827e-06	7.437334959926634e-06	72
ADAMTSL4	-0.9810556818181823	1.2731705307823173e-15	1.0303620133918658e-14	88
