gene	log2fc	pval	qval	mean_tumor_log2tpm	mean_normal_log2tpm	n_tumor	n_normal
A1CF	-1.1404874720826421	1.858316800631856e-13	7.025937564604469e-13	2.7771392548224547	3.917626726905097	471	41
A2M	-1.3613742447786974	5.432866498869751e-15	2.4981256373784646e-14	6.649795716677731	8.011169961456428	471	41
A2M-AS1	-0.4590648949354772	1.7175346442328736e-09	4.195386370602841e-09	0.5647793006785355	1.0238441956140127	471	41
A4GALT	-0.39321487406457534	0.009154734544722024	0.012131228748464978	3.0233736364201924	3.4165885104847677	471	41
AAAS	0.7082357575058094	1.3428578470068186e-19	1.3757508606683119e-18	5.074796939675986	4.366561182170177	471	41
AACS	0.35709674642457934	7.65766126693202e-07	1.464904943036442e-06	3.5959382745071626	3.2388415280825833	471	41
AADACP1	-0.08060134154000087	0.26915719901919977	0.2995923547987119	1.678176609015089	1.7587779505550898	471	41
AADAT	1.0387827220653052	3.5798849019541473e-13	1.3036673492207297e-12	3.1666112615064623	2.127828539441157	471	41
AAGAB	0.14193991307430487	0.0036271894083562536	0.005003401948034933	5.5295488844676575	5.387608971393353	471	41
AAK1	-0.26239257150260187	0.00010995280223978256	0.0001740252359346464	2.238558282535683	2.500950854038285	471	41
AAMDC	-0.09297731933983533	0.16417733140474544	0.18839688430109935	2.982913428801521	3.075890748141356	471	41
AAMP	0.23176443314964779	7.552616220159902e-09	1.7382269243757976e-08	7.35546887479609	7.123704441646442	471	41
AAR2	0.6511707845476291	4.914556697906817e-13	1.7595092093278502e-12	5.950579952808703	5.299409168261074	471	41
AARS1	0.9807939437646542	1.0644873640035814e-19	1.1046957553015364e-18	5.782719649667495	4.801925705902841	471	41
AARS2	0.4529368377373091	9.998678138280704e-10	2.5030095336639872e-09	4.042092850153569	3.58915601241626	471	41
AARSD1	0.6106401090963276	3.5106763725664453e-16	1.90590465987888e-15	1.0344824142591817	0.42384230516285415	471	41
AASDH	0.2424157302861345	0.0001258245282580342	0.000198077748024693	2.9581102872025493	2.715694556916415	471	41
AASDHPPT	0.767690254540875	3.775876215365919e-16	2.0391584185467404e-15	3.9728601216892607	3.2051698671483857	471	41
AASS	0.0032169272545403693	0.7504292217667154	0.7745302130067179	1.7366146074288984	1.733397680174358	471	41
AATBC	0.4061963201470413	2.5560120927598382e-05	4.2784963591573214e-05	1.0636289643175914	0.65743264417055	471	41
AATF	0.8569316629115082	1.3981374008196605e-19	1.427396971932466e-18	5.74538022536929	4.888448562457782	471	41
AATK	0.1969525888808088	0.26465406630200783	0.2949327824871645	1.7537389414110023	1.5567863525301935	471	41
ABAT	-0.5287445028207007	0.0005407039129223821	0.0008071828948441191	2.9552508723641755	3.4839953751848762	471	41
ABCA1	-0.7372905500744036	1.2135833166389997e-08	2.7333950363639115e-08	2.8178228857127197	3.5551134357871232	471	41
ABCA2	0.4884570688429761	2.6062877472739684e-05	4.3605675011630115e-05	4.395902643853666	3.90744557501069	471	41
ABCA3	-0.29529908948214745	0.0018310518075083525	0.0026024254202267447	2.0489860516832206	2.344285141165368	471	41
ABCA5	-0.9187950357572561	2.420398030498723e-14	1.0231815261459172e-13	2.1966034098683065	3.1153984456255626	471	41
ABCA6	-0.7695775158380842	8.431138886312593e-20	9.006117094251497e-19	0.3268417600916649	1.096419275929749	471	41
ABCA7	0.45798978923779643	9.42528873751251e-05	0.00015013455133532273	3.031030157652125	2.5730403684143286	471	41
ABCA8	-2.880363232207383	9.616897256425951e-26	2.3522663553182977e-23	0.47324302508712246	3.3536062572945053	471	41
ABCA9	-0.9768761569620972	9.451829751110814e-21	1.2863691943339455e-19	0.3354173825828967	1.312293539544994	471	41
ABCB1	-1.8555901552544842	4.034089682343877e-12	1.3033269747891764e-11	3.6868252100751757	5.54241536532966	471	41
ABCB10	0.10843260227241824	0.0693718740087228	0.08334184277014921	4.4981364726212005	4.389703870348782	471	41
ABCB11	-1.7144635771012893	1.765005132432357e-23	7.402395283001799e-22	0.15549507364772683	1.869958650749016	471	41
ABCB7	0.3824482841741683	5.5894336335423934e-08	1.1845429087883884e-07	4.262887618238451	3.8804393340642824	471	41
ABCB8	0.47776659659342924	5.335174415557477e-12	1.6984410092621606e-11	4.043979699829252	3.5662131032358224	471	41
ABCB9	0.1615786630991325	0.012810025590926259	0.01672826343480664	1.397570931557471	1.2359922684583384	471	41
ABCC1	1.18840301648329	2.9978833475209285e-19	2.8354309147793274e-18	5.0144875592289555	3.8260845427456656	471	41
ABCC10	0.7674750521921205	7.070293263952812e-17	4.2323227284661105e-16	4.0499149175590485	3.282439865366928	471	41
ABCC13	-1.2931961955138296	1.064117894463496e-24	9.608255305727154e-23	0.30458263931118085	1.5977788348250104	471	41
ABCC2	1.059438424051928	7.544599336566355e-14	2.9992762735049683e-13	1.4697490922123555	0.41031066816042766	471	41
ABCC3	-0.6351853855891019	2.4506654080070337e-08	5.363990616506571e-08	5.59987234241106	6.235057728000162	471	41
ABCC4	0.029948028211506994	0.6126628598595685	0.643694405499753	3.3207099090030154	3.2907618807915084	471	41
ABCC5	0.1838258490591933	0.06437718310559688	0.077584792422683	3.211318722029491	3.027492872970298	471	41
ABCC6	-0.5905951921070272	2.95031435548769e-06	5.3427235079170906e-06	2.305739838214739	2.896335030321766	471	41
ABCC6P1	-0.3619144509850323	0.00013881024103328722	0.0002178202279930499	1.2878108893478215	1.6497253403328538	471	41
ABCC6P2	-0.8990652345006696	2.6207325051095767e-12	8.64949777876401e-12	1.467286636671514	2.3663518711721836	471	41
ABCC9	-0.26170011918903335	0.21975897356342244	0.2475931384068042	0.8799724977177066	1.14167261690674	471	41
ABCD1	0.015327041364537664	0.6379931301146435	0.6681154276470461	4.0960351714649486	4.080708130100411	471	41
ABCD3	-0.8297650110902675	1.0444004030574383e-16	6.088359979557943e-16	4.829369011708518	5.659134022798786	471	41
ABCD4	-0.24208714694036315	9.998781692408363e-05	0.00015883866533014944	3.6518635108303816	3.893950657770745	471	41
ABCE1	1.1869236822050508	2.0360821411048623e-18	1.6130203592891467e-17	5.318297057099321	4.13137337489427	471	41
ABCF1	0.36883060716670624	3.5089634501105743e-09	8.318260239587741e-09	6.162982873493634	5.794152266326928	471	41
ABCF2	0.7672139682160455	2.004661160528174e-21	3.375151787577597e-20	3.9281470521926374	3.160933083976592	471	41
ABCF3	0.2850207275661969	1.2290040279823249e-09	3.047590810588105e-09	5.134801721329526	4.849780993763329	471	41
ABCG1	-0.5773194366086614	4.490123764800652e-06	8.003600164160351e-06	4.214479737966703	4.791799174575364	471	41
ABCG2	-3.6689968265544435	6.46874680498425e-25	6.86274976693981e-23	1.164383999097774	4.833380825652218	471	41
ABHD10	0.5573794258582669	1.6317313749521874e-11	4.92146279230741e-11	5.104811715182916	4.547432289324649	471	41
ABHD11	0.5965302987392311	3.3980157619453375e-12	1.1059407795900822e-11	6.906545955260398	6.310015656521167	471	41
ABHD11-AS1	-1.4722443478223415	2.602958667070984e-13	9.648643461542223e-13	4.6504752338720285	6.12271958169437	471	41
ABHD12	0.5126316932155408	4.4177019271736476e-08	9.448645693399941e-08	6.178940966914343	5.666309273698802	471	41
ABHD12B	-0.008442023894183137	0.007629747631737697	0.010197896595517045	1.3023785288839493	1.3108205527781325	471	41
ABHD13	0.3606724805207784	7.657656923966958e-07	1.464904943036442e-06	4.0919662794120715	3.731293798891293	471	41
ABHD14A	0.46404516658409056	1.3183467533492421e-07	2.7034722411971564e-07	2.721501813296213	2.2574566467121224	471	41
ABHD14B	-0.018921944244024935	0.650226717665261	0.6797140573872447	6.499459746992668	6.5183816912366925	471	41
ABHD15	-0.25783551802067084	0.0011717464361345957	0.0016954750215073834	4.063001245817704	4.320836763838375	471	41
ABHD16A	0.5430128597964125	1.1593484928591174e-13	4.5091405945122756e-13	1.362048572041195	0.8190357122447826	471	41
ABHD17A	0.14386405859968843	0.004889354354192869	0.006667680000905267	4.147575522823822	4.003711464224134	471	41
ABHD17B	-0.1608009783416211	0.03936763076513186	0.04870413385351157	4.493834775512579	4.6546357538542	471	41
ABHD17C	-0.3044846789527167	7.059631633261223e-05	0.0001138006157376324	6.561563259301747	6.8660479382544635	471	41
ABHD18	-0.01714293829410618	0.7329635209502058	0.7581921156918577	2.9364858150902147	2.953628753384321	471	41
ABHD2	0.8214076497819596	1.900500515993913e-10	5.131030904057765e-10	5.953932803961021	5.132525154179062	471	41
