rank,gene,rna_lfc,rna_p,rna_q,mean_tumor_log2tpm,mean_normal_log2tpm,n_tumor,n_normal,prot_lfc,prot_p,prot_q,n_pairs,neglog10p,gen_p,gen_q,mut_freq,n_mutated,cds_len,n_patients,concordant,transcriptomic,proteomic,genomic,score,score_genomic_weighted
1,CA2,-5.1977384968862514,4.503320265290465e-24,2.7253599035061987e-22,5.4296842276952235,10.627422724581477,471,41,-2.1573270833333336,2.2906798308913148e-17,9.541570874547247e-16,96,1.966114096093189,0.0108114987865247,0.4952281660871166,0.0471698113207547,5,783.0,106,True,5.1977384968862514,2.1573270833333336,1.966114096093189,0.9916855631141345,0.9895382395382395
2,DES,-4.207694117559554,6.16009941851657e-16,3.2374070683227484e-15,5.0750448645419715,9.282738982101526,471,41,-2.7913406250000015,5.263224472250726e-16,5.154886567055492e-15,96,1.4903837770968384,0.0323307830182048,0.7689283741212032,0.0566037735849056,6,1413.0,106,True,4.207694117559554,2.7913406250000015,1.4903837770968384,0.9886964886964886,0.9840754483611627
3,PTN,-2.296810490243691,3.987495450354018e-23,1.3662244725411516e-21,2.229655613672056,4.526466103915747,471,41,-2.1374436619718313,2.429215736341892e-13,1.0952693800482361e-12,71,1.955493326485586,0.0110791558984537,0.4952281660871166,0.0377358490566037,4,507.0,106,True,2.296810490243691,2.1374436619718313,1.955493326485586,0.9830275544561258,0.9829416615130901
4,HSPB6,-2.580987500643543,1.497515721495965e-16,8.521082187807896e-16,2.0572164464653313,4.638203947108875,471,41,-2.2737812500000003,3.3360036935579033e-17,9.764418690273613e-16,96,1.3076775104497802,0.04924050400651,0.8899739883711052,0.0283018867924528,3,483.0,106,True,2.580987500643543,2.2737812500000003,1.3076775104497802,0.979179550608122,0.9746444032158318
5,BCHE,-2.5935665222153084,2.249487743687436e-23,8.802090840732979e-22,0.6440620533597257,3.237628575575034,471,41,-1.7529712499999994,1.666223731821299e-14,9.505693041487327e-14,80,1.4849735462398288,0.0327360634473591,0.7715008798988188,0.0660377358490566,7,1809.0,106,True,2.5935665222153084,1.7529712499999994,1.4849735462398288,0.9778739778739778,0.9757266542980829
6,CFL2,-1.554905912805232,3.1179640945803426e-12,1.0195036329308282e-11,2.7712819053529447,4.326187818158177,471,41,-2.2019218749999996,1.0829945337822904e-16,1.7140337954765985e-15,96,1.9727895190317373,0.0106465888049609,0.4923545124709302,0.0377358490566037,4,501.0,106,True,1.554905912805232,2.2019218749999996,1.9727895190317373,0.9716896859754003,0.9745928674500104
7,GREM2,-3.5485259309328896,3.9471230085030777e-25,5.187521141996098e-23,1.411729511375485,4.960255442308375,471,41,-1.3516516129032254,1.862645149230957e-09,5.088145890142708e-09,31,1.2570604716280172,0.0553273065518823,0.9320084423275854,0.0283018867924528,3,507.0,106,True,3.5485259309328896,1.3516516129032254,1.2570604716280172,0.9714148285576856,0.9684085755514327
8,PRPH,-1.654115548144666,1.6011002681291824e-23,6.962216499264946e-22,0.4025595698740698,2.056675118018736,471,41,-2.2583875,1.8379603134925984e-17,9.541570874547247e-16,96,1.4903837770968384,0.0323307830182048,0.7689283741212032,0.0566037735849056,6,1413.0,106,True,1.654115548144666,2.2583875,1.4903837770968384,0.970281041709613,0.970263863121006
9,TSPAN7,-2.6866266987607084,2.405693845785307e-25,3.8584362311569706e-23,3.384145666950068,6.070772365710776,471,41,-1.001159259259259,0.0032471865415573,0.0046951238162301,27,2.040389942235442,0.0091119233497314,0.4481603504386291,0.0471698113207547,5,750.0,106,True,2.6866266987607084,1.001159259259259,2.040389942235442,0.9665361093932522,0.9709338280766853
10,B3GALT5,-2.6560455513117773,2.5291628580959375e-19,2.4326098904384247e-18,2.2036113375584483,4.859656888870226,471,41,-1.3845528301886791,3.626289955852419e-09,9.536957786677334e-09,53,1.117107090409059,0.0763647456519668,0.9999999997893128,0.0377358490566037,4,945.0,106,True,2.6560455513117773,1.3845528301886791,1.117107090409059,0.9647495361781075,0.9605236033807463
